epoch,kappa_0,kappa_1,kappa_2
0,1.00010002e+02,1.00010002e+02,1.00010002e+02
50,1.00508850e+02,1.00495743e+02,1.00507599e+02
100,1.01002975e+02,1.00916344e+02,1.00995659e+02
150,1.01492699e+02,1.01267342e+02,1.01474693e+02
200,1.01977722e+02,1.01544273e+02,1.01945320e+02
250,1.02458221e+02,1.01745880e+02,1.02408569e+02
300,1.02934998e+02,1.01882515e+02,1.02865799e+02
350,1.03407532e+02,1.01953682e+02,1.03317261e+02
400,1.03875893e+02,1.01978348e+02,1.03763802e+02
450,1.04340149e+02,1.01964600e+02,1.04205757e+02
500,1.04800430e+02,1.01945290e+02,1.04644325e+02
550,1.05256752e+02,1.01897484e+02,1.05078651e+02
600,1.05709137e+02,1.01845337e+02,1.05509293e+02
650,1.06157570e+02,1.01803970e+02,1.05936111e+02
700,1.06602066e+02,1.01747162e+02,1.06358833e+02
750,1.07041908e+02,1.01670914e+02,1.06776192e+02
800,1.07477638e+02,1.01615517e+02,1.07189354e+02
850,1.07909698e+02,1.01554352e+02,1.07598297e+02
900,1.08338203e+02,1.01486900e+02,1.08003204e+02
950,1.08762993e+02,1.01426025e+02,1.08403969e+02
1000,1.09183678e+02,1.01364258e+02,1.08800049e+02
1050,1.09600685e+02,1.01325050e+02,1.09191818e+02
1100,1.10013817e+02,1.01280655e+02,1.09578468e+02
1150,1.10423073e+02,1.01232887e+02,1.09960411e+02
1200,1.10828346e+02,1.01177780e+02,1.10337105e+02
1250,1.11229736e+02,1.01110558e+02,1.10708916e+02
1300,1.11627266e+02,1.01066887e+02,1.11076401e+02
1350,1.12020866e+02,1.01014656e+02,1.11438515e+02
1400,1.12409447e+02,1.00936615e+02,1.11794044e+02
1450,1.12794174e+02,1.00880714e+02,1.12144966e+02
1500,1.13175346e+02,1.00827377e+02,1.12490837e+02
1550,1.13552841e+02,1.00774033e+02,1.12831200e+02
1600,1.13926514e+02,1.00729660e+02,1.13166260e+02
1650,1.14296219e+02,1.00688698e+02,1.13496078e+02
1700,1.14661804e+02,1.00637856e+02,1.13819656e+02
1750,1.15023392e+02,1.00587944e+02,1.14137505e+02
1800,1.15380768e+02,1.00586449e+02,1.14449883e+02
1850,1.15733635e+02,1.00532799e+02,1.14754082e+02
1900,1.16082726e+02,1.00485046e+02,1.15052338e+02
1950,1.16427650e+02,1.00440765e+02,1.15344376e+02
2000,1.16768547e+02,1.00392311e+02,1.15630249e+02
2050,1.17105255e+02,1.00346863e+02,1.15909439e+02
2100,1.17437744e+02,1.00316795e+02,1.16182426e+02
2150,1.17765579e+02,1.00261810e+02,1.16447128e+02
2200,1.18089333e+02,1.00211311e+02,1.16705048e+02
2250,1.18408951e+02,1.00187500e+02,1.16956551e+02
2300,1.18724243e+02,1.00119278e+02,1.17200226e+02
2350,1.19035019e+02,1.00067764e+02,1.17437515e+02
2400,1.19341339e+02,1.00031387e+02,1.17666656e+02
2450,1.19643333e+02,1.00029739e+02,1.17888199e+02
2500,1.19940834e+02,9.99962769e+01,1.18100853e+02
2550,1.20233345e+02,9.99490509e+01,1.18304108e+02
2600,1.20521454e+02,9.98980865e+01,1.18498856e+02
2650,1.20805077e+02,9.98871384e+01,1.18685783e+02
2700,1.21083984e+02,9.98311539e+01,1.18862915e+02
2750,1.21358192e+02,9.98027344e+01,1.19031097e+02
2800,1.21627632e+02,9.97788849e+01,1.19190063e+02
2850,1.21892067e+02,9.97330780e+01,1.19338181e+02
2900,1.22151756e+02,9.97179947e+01,1.19477219e+02
2950,1.22406425e+02,9.96739120e+01,1.19605125e+02
3000,1.22656219e+02,9.96557999e+01,1.19723228e+02
3050,1.22900909e+02,9.96065445e+01,1.19829338e+02
3100,1.23140663e+02,9.95911255e+01,1.19925232e+02
3150,1.23375214e+02,9.95496826e+01,1.20009048e+02
3200,1.23604607e+02,9.94672546e+01,1.20081139e+02
3250,1.23829109e+02,9.94684143e+01,1.20143776e+02
3300,1.24048393e+02,9.94428329e+01,1.20193466e+02
3350,1.24262337e+02,9.94051285e+01,1.20229828e+02
3400,1.24471100e+02,9.93996658e+01,1.20254082e+02
3450,1.24674408e+02,9.93365250e+01,1.20263824e+02
3500,1.24872406e+02,9.93405914e+01,1.20261299e+02
3550,1.25064850e+02,9.93078690e+01,1.20243599e+02
3600,1.25252037e+02,9.92814255e+01,1.20211990e+02
3650,1.25433838e+02,9.92795715e+01,1.20166412e+02
3700,1.25610062e+02,9.92411118e+01,1.20105194e+02
3750,1.25780998e+02,9.92185822e+01,1.20029999e+02
3800,1.25946342e+02,9.92174911e+01,1.19939484e+02
3850,1.26106308e+02,9.91999664e+01,1.19833443e+02
3900,1.26260742e+02,9.91553879e+01,1.19711449e+02
3950,1.26409874e+02,9.91566925e+01,1.19574532e+02
4000,1.26553711e+02,9.91542664e+01,1.19423096e+02
4050,1.26692047e+02,9.91155930e+01,1.19254601e+02
4100,1.26824997e+02,9.90940094e+01,1.19070946e+02
4150,1.26952850e+02,9.90938644e+01,1.18872345e+02
4200,1.27075272e+02,9.90905533e+01,1.18658134e+02
4250,1.27192482e+02,9.90880356e+01,1.18428741e+02
4300,1.27304596e+02,9.90451431e+01,1.18184097e+02
4350,1.27411667e+02,9.90317688e+01,1.17925575e+02
4400,1.27513504e+02,9.90312500e+01,1.17652580e+02
4450,1.27610519e+02,9.90302963e+01,1.17365578e+02
4500,1.27702614e+02,9.90306473e+01,1.17065254e+02
4550,1.27790443e+02,9.90303421e+01,1.16753326e+02
4600,1.27872765e+02,9.90299377e+01,1.16426773e+02
4650,1.27950836e+02,9.90284271e+01,1.16090065e+02
4700,1.28028107e+02,9.90310593e+01,1.15747902e+02
4750,1.28105377e+02,9.90310745e+01,1.15400780e+02
4800,1.28181519e+02,9.90301819e+01,1.15047737e+02
4850,1.28248444e+02,9.89911118e+01,1.14680283e+02
4900,1.28313431e+02,9.89715195e+01,1.14307892e+02
4950,1.28369843e+02,9.89695129e+01,1.13921425e+02
5000,1.28425705e+02,9.89696198e+01,1.13531052e+02
5050,1.28471756e+02,9.89691391e+01,1.13131195e+02
5100,1.28511719e+02,9.89709930e+01,1.12724152e+02
5150,1.28552765e+02,9.89698257e+01,1.12315338e+02
5200,1.28586868e+02,9.89680939e+01,1.11898438e+02
5250,1.28616119e+02,9.89710007e+01,1.11474327e+02
5300,1.28646332e+02,9.89690018e+01,1.11048828e+02
5350,1.28677780e+02,9.89714966e+01,1.10622986e+02
5400,1.28702789e+02,9.89676132e+01,1.10190323e+02
5450,1.28721329e+02,9.89689255e+01,1.09749390e+02
5500,1.28740891e+02,9.89704666e+01,1.09310349e+02
5550,1.28761383e+02,9.89712830e+01,1.08871895e+02
5600,1.28782990e+02,9.89918442e+01,1.08434990e+02
5650,1.28805923e+02,9.90303726e+01,1.08000290e+02
5700,1.28819580e+02,9.90118713e+01,1.07554466e+02
5750,1.28825302e+02,9.89993210e+01,1.07100510e+02
5800,1.28831680e+02,9.90284271e+01,1.06649719e+02
5850,1.28838577e+02,9.90301819e+01,1.06200264e+02
5900,1.28846390e+02,9.90296021e+01,1.05751068e+02
5950,1.28855194e+02,9.90310135e+01,1.05304497e+02
6000,1.28864868e+02,9.90304718e+01,1.04859276e+02
6050,1.28875626e+02,9.90301361e+01,1.04414825e+02
6100,1.28887177e+02,9.90320740e+01,1.03971771e+02
6150,1.28899612e+02,9.90318222e+01,1.03529549e+02
6200,1.28912964e+02,9.90303802e+01,1.03087090e+02
6250,1.28927490e+02,9.90336227e+01,1.02646492e+02
6300,1.28938217e+02,9.90318832e+01,1.02203751e+02
6350,1.28937607e+02,9.90309677e+01,1.01752861e+02
6400,1.28937500e+02,9.90323715e+01,1.01304741e+02
6450,1.28937469e+02,9.90319061e+01,1.00856209e+02
6500,1.28937531e+02,9.90379028e+01,1.00407913e+02
6550,1.28937500e+02,9.90390396e+01,9.99617920e+01
6600,1.28937515e+02,9.90593796e+01,9.95160294e+01
6650,1.28937531e+02,9.90909424e+01,9.90713120e+01
6700,1.28937592e+02,9.90930328e+01,9.86283875e+01
6750,1.28937637e+02,9.90936737e+01,9.81854706e+01
6800,1.28937607e+02,9.90940475e+01,9.77423553e+01
6850,1.28938126e+02,9.90929184e+01,9.73018036e+01
6900,1.28939667e+02,9.90949783e+01,9.68619690e+01
6950,1.28941971e+02,9.90957336e+01,9.64220657e+01
7000,1.28945099e+02,9.90945282e+01,9.59855728e+01
7050,1.28949158e+02,9.90940323e+01,9.55493317e+01
7100,1.28954468e+02,9.90922470e+01,9.51135025e+01
7150,1.28960999e+02,9.90931702e+01,9.46800766e+01
7200,1.28968674e+02,9.90922928e+01,9.42478485e+01
7250,1.28977737e+02,9.90936432e+01,9.38153381e+01
7300,1.28988739e+02,9.90987396e+01,9.33857880e+01
7350,1.29001419e+02,9.91567001e+01,9.29572525e+01
7400,1.29015305e+02,9.91571732e+01,9.25274887e+01
7450,1.29030380e+02,9.91575241e+01,9.20982513e+01
7500,1.29047318e+02,9.91542892e+01,9.16717453e+01
7550,1.29062988e+02,9.91488190e+01,9.12443008e+01
7600,1.29062561e+02,9.91583023e+01,9.08104477e+01
7650,1.29062485e+02,9.91536484e+01,9.03784027e+01
7700,1.29062531e+02,9.91562500e+01,8.99456711e+01
7750,1.29062561e+02,9.91556168e+01,8.95138779e+01
7800,1.29062637e+02,9.91577835e+01,8.90837708e+01
7850,1.29062576e+02,9.91586914e+01,8.86535492e+01
7900,1.29062363e+02,9.91572876e+01,8.82242584e+01
7950,1.29062729e+02,9.91596069e+01,8.77972260e+01
8000,1.29062561e+02,9.91560135e+01,8.73691559e+01
8050,1.29062531e+02,9.91567917e+01,8.69410324e+01
8100,1.29062592e+02,9.91566010e+01,8.65152512e+01
8150,1.29062515e+02,9.91585693e+01,8.60901794e+01
8200,1.29062607e+02,9.91669464e+01,8.56643219e+01
8250,1.29062622e+02,9.92014008e+01,8.52411423e+01
8300,1.29062531e+02,9.92163696e+01,8.48180084e+01
8350,1.29062683e+02,9.92203445e+01,8.43940582e+01
8400,1.29062683e+02,9.92198181e+01,8.39721146e+01
8450,1.29062790e+02,9.92190552e+01,8.35515823e+01
8500,1.29063263e+02,9.92176208e+01,8.31303253e+01
8550,1.29063324e+02,9.92189102e+01,8.27094421e+01
8600,1.29064194e+02,9.92174606e+01,8.22908173e+01
8650,1.29066986e+02,9.92184753e+01,8.18724670e+01
8700,1.29072128e+02,9.92184601e+01,8.14545135e+01
8750,1.29080460e+02,9.92202072e+01,8.10409546e+01
8800,1.29091644e+02,9.92181244e+01,8.06276169e+01
8850,1.29105225e+02,9.92185669e+01,8.02144699e+01
8900,1.29122498e+02,9.92218170e+01,7.98056564e+01
8950,1.29142197e+02,9.92239532e+01,7.93964462e+01
9000,1.29165939e+02,9.92289963e+01,7.89866791e+01
9050,1.29186752e+02,9.92284317e+01,7.85759354e+01
9100,1.29187271e+02,9.92437286e+01,7.81632919e+01
9150,1.29187454e+02,9.92778473e+01,7.77506485e+01
9200,1.29187180e+02,9.92788925e+01,7.73367996e+01
9250,1.29187408e+02,9.92777100e+01,7.69260254e+01
9300,1.29187256e+02,9.92753677e+01,7.65153503e+01
9350,1.29187592e+02,9.92818756e+01,7.61052704e+01
9400,1.29187531e+02,9.92780533e+01,7.56973877e+01
9450,1.29187531e+02,9.92777100e+01,7.52901077e+01
9500,1.29187561e+02,9.92802505e+01,7.48821030e+01
9550,1.29187531e+02,9.92813110e+01,7.44758835e+01
9600,1.29187531e+02,9.92846146e+01,7.40712814e+01
9650,1.29187607e+02,9.92816544e+01,7.36663742e+01
9700,1.29187775e+02,9.92859268e+01,7.32633286e+01
9750,1.29187576e+02,9.92829361e+01,7.28613892e+01
9800,1.29188187e+02,9.92809296e+01,7.24585114e+01
9850,1.29187347e+02,9.92871094e+01,7.20557632e+01
9900,1.29187286e+02,9.93134232e+01,7.16572647e+01
9950,1.29187851e+02,9.93437424e+01,7.12588348e+01
10000,1.29187515e+02,9.93424225e+01,7.08588028e+01
10050,1.29187622e+02,9.93416595e+01,7.04610367e+01
10100,1.29187592e+02,9.93428268e+01,7.00655518e+01
10150,1.29187790e+02,9.93423080e+01,6.96693802e+01
10200,1.29187576e+02,9.93391724e+01,6.92750854e+01
10250,1.29188675e+02,9.93410721e+01,6.88830032e+01
10300,1.29187607e+02,9.93447418e+01,6.84890671e+01
10350,1.29190430e+02,9.93464737e+01,6.80970078e+01
10400,1.29197586e+02,9.93442764e+01,6.77097092e+01
10450,1.29209885e+02,9.93473282e+01,6.73225021e+01
10500,1.29230118e+02,9.93444595e+01,6.69345551e+01
10550,1.29257874e+02,9.93466339e+01,6.65480042e+01
10600,1.29290863e+02,9.93439178e+01,6.61661453e+01
10650,1.29312119e+02,9.93472595e+01,6.57822647e+01
10700,1.29312866e+02,9.93441620e+01,6.53957901e+01
10750,1.29313156e+02,9.93501434e+01,6.50131531e+01
10800,1.29312485e+02,9.93507385e+01,6.46301651e+01
10850,1.29312317e+02,9.93591080e+01,6.42465897e+01
10900,1.29312622e+02,9.94016266e+01,6.38643990e+01
10950,1.29312424e+02,9.94015198e+01,6.34868011e+01
11000,1.29311523e+02,9.94066849e+01,6.31088219e+01
11050,1.29312134e+02,9.94029465e+01,6.27312393e+01
11100,1.29313156e+02,9.94069977e+01,6.23574715e+01
11150,1.29312256e+02,9.94075089e+01,6.19837227e+01
11200,1.29312073e+02,9.94029083e+01,6.16088295e+01
11250,1.29313187e+02,9.94067459e+01,6.12384300e+01
11300,1.29312759e+02,9.94074020e+01,6.08695030e+01
11350,1.29312195e+02,9.94099884e+01,6.04999199e+01
11400,1.29312866e+02,9.94063416e+01,6.01322975e+01
11450,1.29312225e+02,9.94080276e+01,5.97667656e+01
11500,1.29312531e+02,9.94090271e+01,5.94034119e+01
11550,1.29312607e+02,9.94115143e+01,5.90387878e+01
11600,1.29313187e+02,9.94162140e+01,5.86759758e+01
11650,1.29312775e+02,9.94156570e+01,5.83181114e+01
