epoch,total_loss,data_loss,physics_loss
0,3.677500e+02,1.221970e-01,3.676278e+02
50,3.539821e+02,2.862989e-04,3.539819e+02
100,3.395625e+02,9.722729e-05,3.395624e+02
150,3.271209e+02,8.857864e-05,3.271208e+02
200,3.165222e+02,8.691005e-05,3.165221e+02
250,3.058557e+02,8.597901e-05,3.058556e+02
300,2.943472e+02,8.568069e-05,2.943471e+02
350,2.844948e+02,8.529749e-05,2.844947e+02
400,2.734751e+02,8.483193e-05,2.734750e+02
450,2.638912e+02,8.434913e-05,2.638911e+02
500,2.534054e+02,8.403054e-05,2.534053e+02
550,2.441868e+02,8.402407e-05,2.441867e+02
600,2.352005e+02,8.408778e-05,2.352004e+02
650,2.264401e+02,8.408321e-05,2.264400e+02
700,2.180827e+02,8.397552e-05,2.180826e+02
750,2.072871e+02,8.379536e-05,2.072870e+02
800,1.990399e+02,8.353186e-05,1.990398e+02
850,1.928971e+02,9.219057e-05,1.928970e+02
900,1.849271e+02,8.394309e-05,1.849270e+02
950,1.771978e+02,8.359303e-05,1.771977e+02
1000,1.694852e+02,8.380646e-05,1.694852e+02
1050,1.630870e+02,8.333174e-05,1.630869e+02
1100,1.559770e+02,8.403983e-05,1.559769e+02
1150,1.488691e+02,1.202438e-04,1.488690e+02
1200,1.428704e+02,8.444656e-05,1.428703e+02
1250,1.360908e+02,8.341746e-05,1.360908e+02
1300,1.304277e+02,8.339742e-05,1.304277e+02
1350,1.242521e+02,9.019212e-05,1.242520e+02
1400,1.187364e+02,8.573176e-05,1.187363e+02
1450,1.125996e+02,8.296595e-05,1.125995e+02
1500,1.079295e+02,8.336428e-05,1.079295e+02
1550,1.028428e+02,1.158416e-04,1.028427e+02
1600,9.795836e+01,8.278690e-05,9.795827e+01
1650,9.310556e+01,3.140670e-04,9.310525e+01
1700,8.923698e+01,8.481780e-05,8.923689e+01
1750,8.464725e+01,8.377440e-05,8.464717e+01
1800,7.976230e+01,8.575025e-05,7.976221e+01
1850,7.579557e+01,1.055194e-04,7.579546e+01
1900,7.224809e+01,8.278586e-05,7.224800e+01
1950,6.819257e+01,8.300051e-05,6.819248e+01
2000,6.485752e+01,8.283963e-05,6.485744e+01
2050,6.105566e+01,8.856870e-05,6.105558e+01
2100,5.743017e+01,8.269349e-05,5.743009e+01
2150,5.475032e+01,1.078539e-04,5.475021e+01
2200,5.179352e+01,1.740689e-04,5.179334e+01
2250,4.897232e+01,9.616339e-05,4.897223e+01
2300,4.617944e+01,2.648325e-04,4.617918e+01
2350,4.341003e+01,8.359605e-05,4.340994e+01
2400,4.080776e+01,8.360046e-05,4.080767e+01
2450,3.828458e+01,8.293994e-05,3.828450e+01
2500,3.587845e+01,8.270259e-05,3.587836e+01
2550,3.345456e+01,1.132999e-04,3.345444e+01
2600,3.163698e+01,8.305965e-05,3.163689e+01
2650,2.943587e+01,8.292545e-05,2.943579e+01
2700,2.770836e+01,8.217344e-05,2.770828e+01
2750,2.566116e+01,8.255217e-05,2.566107e+01
2800,2.402684e+01,8.243452e-05,2.402676e+01
2850,2.253830e+01,8.297517e-05,2.253822e+01
2900,2.106967e+01,8.361335e-05,2.106958e+01
2950,1.963942e+01,8.256119e-05,1.963934e+01
3000,1.827514e+01,8.924217e-05,1.827505e+01
3050,1.695087e+01,9.949201e-05,1.695078e+01
3100,1.568817e+01,8.238456e-05,1.568808e+01
3150,1.451068e+01,1.393144e-04,1.451054e+01
3200,1.334531e+01,8.254378e-05,1.334523e+01
3250,1.251166e+01,8.381808e-05,1.251158e+01
3300,1.146130e+01,8.152908e-05,1.146122e+01
3350,1.071079e+01,8.315481e-05,1.071071e+01
3400,9.989264e+00,8.289624e-05,9.989182e+00
